Date,ProjectID,ExecQty,AvgPx,VwapPx,Benchmark
2025/3/1,2001,1000,1700,1705,1705 
2025/3/2,2001,2000,1710,1715,1710 
2025/3/3,2001,3000,1720,1725,1715 
2025/3/4,2001,4000,1730,1735,1720 
2025/3/5,2001,5000,1740,1745,1725 
2025/3/6,2001,6000,1750,1755,1730 
2025/3/7,2001,6000,1760,1765,1735 
2025/3/8,2001,6000,1770,1775,1740 
2025/3/9,2001,6000,1780,1785,1745 
2025/3/10,2001,6000,1790,1795,1750 
2025/3/11,2001,6000,1800,1805,1755 
2025/3/12,2001,6000,1810,1815,1760 
2025/3/13,2001,6000,1820,1825,1765 
2025/3/14,2001,6000,1830,1835,1770 
2025/3/10,2002,5000,5000,4995,4995 
2025/3/11,2002,6000,6000,5995,5495 
2025/3/12,2002,7000,7000,6995,5995 
2025/3/13,2002,8000,7000,6995,6245 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
