StockCycle,ProjectID,FilledQty,FilledAveragePrice,ALL_DAY_VWAP,Date
7203 JT Equity,2001A,1000,1700.0,1705.0,2025/03/01
7203 JT Equity,2001A,2000,1710.0,1715.0,2025/03/02
7203 JT Equity,2001A,3000,1720.0,1725.0,2025/03/03
7203 JT Equity,2001A,4000,1730.0,1735.0,2025/03/04
7203 JT Equity,2001A,5000,1740.0,1745.0,2025/03/05
7203 JT Equity,2001A,6000,1750.0,1755.0,2025/03/06
7203 JT Equity,2001A,6000,1760.0,1765.0,2025/03/07
7203 JT Equity,2001A,6000,1770.0,1775.0,2025/03/08
7203 JT Equity,2001A,6000,1780.0,1785.0,2025/03/09
7203 JT Equity,2001A,6000,1790.0,1795.0,2025/03/10
7203 JT Equity,2001A,6000,1800.0,1805.0,2025/03/11
7203 JT Equity,2001A,6000,1810.0,1815.0,2025/03/12
7203 JT Equity,2001A,6000,1820.0,1825.0,2025/03/13
7203 JT Equity,2001A,6000,1830.0,1835.0,2025/03/14
6758 JT Equity,2002B,5000,5000.0,4995.0,2025/03/10
6758 JT Equity,2002B,6000,6000.0,5995.0,2025/03/11
6758 JT Equity,2002B,7000,7000.0,6995.0,2025/03/12
6758 JT Equity,2002B,8000,7000.0,6995.0,2025/03/13
7203 JT Equity,2001A,10000,1780.0,1760.0,2025-06-02
